na_signalech_mam_profil,o_signalech_jsem_se_poprve_dozvedel,na_signaly_chodim,na_signaly_chodim_hlavne,signaly_jsem_vyuzil_k,na_signalech_se_mi_povedlo,jsem_autorizovany,funkcionality[status][pisu],funkcionality[status][ctu],funkcionality[status][komentuji],funkcionality[sledovane_blogy][ctu],funkcionality[blogy_vyber][ctu],funkcionality[blogy_nesledovane][ctu],funkcionality[blog][komentuji],funkcionality[blog][pisu],funkcionality[fotky][prohlizim],funkcionality[fotky][vkladam],funkcionality[akce][prohlizim],funkcionality[akce][vkladam],funkcionality[zed_spolecenstvi][ctu],funkcionality[zed_spolecenstvi][pisu],funkcionality[videa][prohlizim],funkcionality[videa][vkladam],funkcionality[autorizovani][chat],jine_site[Facebook],jine_site[Twitter],jine_site[Youtube],jine_site[Instagram],jine_site[Googleplus],jine_site[Lidecz],pouzivas_dalsi_socialni_site,"Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Používám jenom Signály, jiné sociální sítě nepotřebuji]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Signály jsou pro mě nejdůležitější sociální síť]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli kamarádům, kteří na jiných sociálních sítích nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli zajímavým lidem, kteří nejsou na jiných sociálních sítích]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli něčemu, co se děje jenom tam (např. Aktivita nějakého společenství)]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli informacím, které jinde nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli blogům, které rád čtu]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem proto, že mám rád křesťanské prostředí]","Pokud jseš na Signálech (ještě) kvůli něčemu jinému, můžeš nám to prozradit tady:"," [Těší mě, když se mým kamarádům líbí můj obsah (status, fotka, blog, video)]"," [Těší mě, když se cizím lidem líbí můj obsah]"," [Těší mě, když moji kamarádi komentují můj obsah]"," [Těší mě, když cizí lidé komentují můj obsah]"," [Těší mě, když mi kamarádi píšou soukromé zprávy]"," [Těší mě, když mi cizí lidé píšou soukromé zprávy]", [Autorizovaní uživatelé jsou pro mě důvěryhodnější než neautorizovaní]," [Komunikace na Signálech mě někdy obtěžuje, nebo je mi z ní těžko]"," [Na Signálech jsem zažil/a situace, které jsou mi nepříjemné]"," [Na Signálech jsem zažil/a situace, které zažívat nechci]",na_signalech_jsem_zazil,"(Jen ti, kdo zažili nepříjemné komentáře) Komentáře mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné komentáře) [Uvažoval/a jsem, že kvůli nepříjemným komentářům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné komentáře) [Na Signálech by mělo být zakázané psát takové komentáře]","(Jen ti, kdo zažili nepříjemné komentáře) [Ti, kdo píší takové komentáře, by na Signálech vůbec neměli být]","(Jen ti, kdo zažili nepříjemné vzkazy) Vzkazy mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné vzkazy) [Uvažoval/a jsem, že kvůli nepříjemným vzkazům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné vzkazy) [Na Signálech by mělo být zakázané psát takové vzkazy]","(Jen ti, kdo zažili nepříjemné vzkazy) [Ti, kdo píší takové vzkazy, by na Signálech vůbec neměli být]",jsem,vek,studuji,(Jen žáci a studenti) Jsem žák / student,moje_nejvyssi_dosazene_vzdelani
9 let,od kamaráda,jednou denně,Protože rád čtu blogy,"Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, kde jsem se něco nového dozvěděl/a",ano,vůbec,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,každý den,vůbec,každý den,vůbec,vůbec,vůbec,,,,,,,,,zcela souhlasím,,,,,,,,,,,,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,SŠ - učňovský obor
10 let,od kamaráda,několikrát za týden,"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,vícekrát za den,vůbec,vícekrát za den,každý den,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,je mi to jedno,zcela souhlasím,je mi to jedno,je mi to jedno,spíše nesouhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Vyjadřovaly jiný názor, než mám já, Pisatel psal, že nemám pravdu",spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,"Byly od cizího člověka, protože se se ,nou snažit navázat kontakt, někdo o koho jsem nestála (to ale není problém signálů, jako takových :) )",vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,méně než jednou týdně,vícekrát za den,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vícekrát za den,méně než jednou týdně,alespoň jednou týdně,vůbec,méně než jednou týdně,vícekrát za den,vůbec,vícekrát za den,vůbec,vůbec,vůbec,Pinterest,spíše nesouhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
rok nebo kratší dobu,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Napsat článek, který se někomu líbil",ne,vůbec,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vícekrát za den,denně,vůbec,vůbec,,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,25-30,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - humanitní obor,VŠ - přírodovědný obor
8 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Obhájit v diskusi svůj názor,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku jiné církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,denně,denně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vícekrát za den,vícekrát za den,vůbec,vůbec,méně než jednou týdně,vícekrát za den,vůbec,jednou nebo několikrát týdně,několikrát za měsíc nebo méně,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,spíše nesouhlasím,spíše souhlasím,vůbec nesouhlasím,zcela souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od kamarádů, Nepříjemné vzkazy od cizích lidí","Vyjadřovaly jiný názor, než mám já, Pisatel psal, že nemám pravdu",spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,"Vyjadřovaly jiný názor, než mám já, Pisatel psal, že nemám pravdu",vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
10 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Protože rád čtu blogy,  Protože rád diskutuji,  ŽMM","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Být znejistěn ohledně nauky vlastní církve,  Najít nové kamarády",ano,vůbec,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,jednou nebo několikrát týdně,několikrát za měsíc nebo méně,vůbec,,spíše nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
8 let,jinak,několikrát za týden,"Protože rád čtu blogy,  Kvůli přehledu křesťanských akcí","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  vložení - inzerování akce","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory",ano,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,"ani souhlas, ani nesouhlas",,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Jiný názor mi nevadí, spíš mám dojem, že díky zkratkovité komunikaci na internetu dochází k nedorozuměním, ke kterým by zřejmě při normální kmunikaci mezi týmiž lidmi nedocházelo. Určitý styl komentářů mi je nepříjemný (hromada emocí, chybí věcné argumenty) - snažím se respektovat, že někdo je takový, ale nerada se do diskuse zapojuji, pokud tam takoví lidé píší.",je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,"spousta času, výsledek žádný (snaha vyjasnit si nedorozumění z komentářů).",je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,díky propagaci na akci,několikrát za týden,"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Být znejistěn ohledně nauky vlastní církve,  Najít nové kamarády",ano,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,denně,alespoň jednou týdně,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,,"ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,Nepříjemné komentáře od cizích lidí,"Nevěděl/a jsem, od koho jsou, Urážely mě",vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VOŠ
10 let,díky propagaci na akci,několikrát za týden,"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy",ŽMM,"Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Díky diskusi si rozšířit obzory",ano,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,denně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,jednou nebo několikrát týdně,vícekrát za den,každý den,vícekrát za den,vůbec,ne,vůbec nesouhlasím,spíše nesouhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",žmm,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,21-25,"ne, vzdělání mám již ukončené",VŠ - humanitní obor,VŠ - humanitní obor
9 let,jinak,několikrát za týden,"Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který se mi líbil,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor",ano,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,jednou nebo několikrát týdně,jednou nebo několikrát týdně,každý den,několikrát za měsíc nebo méně,vůbec,,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,dialog (nejen) s mladou generací,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,Nepříjemné komentáře od cizích lidí,Dělaly si ze mě legraci,vůbec nesouhlasím,je mi to jedno,je mi to jedno,Dělaly si ze mě legraci,vůbec nesouhlasím,spíše nesouhlasím,je mi to jedno,muž,více než 50 let,"ne, vzdělání mám již ukončené",VŠ - humanitní obor,VŠ - humanitní obor
9 let,od kamaráda,několikrát za týden,služba a někdy něco přečtu,,"Přečíst si článek, který mě povzbudil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Lépe poznat nauku vlastní církve",ne,vůbec,alespoň jednou týdně,méně než jednou týdně,,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,,"ani souhlas, ani nesouhlas",zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše nesouhlasím,je mi to jedno,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,Nepříjemné komentáře od cizích lidí,Urážely mě,spíše nesouhlasím,zcela souhlasím,vůbec nesouhlasím,,,,,muž,25-30,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
10 let,jinak,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy,  nástěnka společenství","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Být znejistěn ohledně nauky vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády,  najít nové společenství",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,denně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vícekrát za den,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,jednou nebo několikrát týdně,několikrát za měsíc nebo méně,vůbec,ne,"ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,z nostalgie:),zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí",vyjadřovaly svůj názor poměrně vulgárním a nepříjemným způsobem,vůbec nesouhlasím,vůbec nesouhlasím,spíše nesouhlasím,,,,,žena,25-30,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - přírodovědný obor,VŠ - přírodovědný obor
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Psát si se svými kamarády",ano,méně než jednou týdně,vícekrát za den,alespoň jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,denně,denně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,vůbec,vícekrát za den,vůbec,vůbec,vůbec,ne,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,vůbec nesouhlasím,zcela souhlasím,spíše nesouhlasím,je mi to jedno,je mi to jedno,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
8 let,náhodným brouzdáním na internetu,několikrát za týden,"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů,  Hledání partnera/partnerky","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády,  Najít partnera/partnerku",ano,méně než jednou týdně,alespoň jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,jednou nebo několikrát týdně,,jednou nebo několikrát týdně,,jednou nebo několikrát týdně,,,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,30-40,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Díky diskusi si rozšířit obzory,  Psát si se svými kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,vícekrát za den,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,ne,zcela souhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,je mi to jedno,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
6 let,"od faráře, jiného kněze, katechety, katechetky, jiného církevního pracovníka",několikrát za měsíc,Protože rád čtu blogy,"Psaní blogu,  Čtení blogů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Psát si se svými kamarády",ano,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,"ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,Povzbuzují mě vybraná videa,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,40-50,"ne, vzdělání mám již ukončené",,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
